Month,Hour,Sum of Millisecs,DPM_HR
January,1,223,111.5
January,2,286,143
January,3,286,143
January,4,259,129.5
January,5,265,132.5
January,6,313,156.5
January,7,355,177.5
January,8,349,174.5
January,9,416,208
January,10,472,236
January,11,385,192.5
January,12,352,176
January,13,356,178
January,14,264,132
January,15,357,178.5
January,16,422,211
January,17,507,253.5
January,18,512,256
January,19,401,200.5
January,20,305,152.5
January,21,384,192
January,22,320,160
January,23,306,153
January,24,273,136.5
February,1,12,6
February,2,19,9.5
February,3,4,2
February,4,3,1.5
February,5,32,16
February,6,45,22.5
February,7,8,4
February,8,31,15.5
February,9,56,28
February,10,43,21.5
February,11,43,21.5
February,12,9,4.5
February,13,6,3
February,14,8,4
February,15,11,5.5
February,16,15,7.5
February,17,5,2.5
February,18,9,4.5
February,19,5,2.5
February,20,0,0
February,21,1,0.5
February,22,1,0.5
February,23,2,1
February,24,4,2
March,1,1,1
March,2,0,0
March,3,3,3
March,4,0,0
March,5,0,0
March,6,0,0
March,7,3,3
March,8,6,6
March,9,0,0
March,10,1,1
March,11,0,0
March,12,2,2
March,13,5,5
March,14,0,0
March,15,6,6
March,16,0,0
March,17,0,0
March,18,2,2
March,19,0,0
March,20,2,2
March,21,2,2
March,22,2,2
March,23,4,4
March,24,8,8
April,1,684,342
April,2,722,361
April,3,843,421.5
April,4,862,431
April,5,880,440
April,6,730,365
April,7,451,225.5
April,8,266,133
April,9,158,79
April,10,153,76.5
April,11,126,63
April,12,116,58
April,13,154,77
April,14,240,120
April,15,338,169
April,16,328,164
April,17,388,194
April,18,349,174.5
April,19,303,151.5
April,20,279,139.5
April,21,502,251
April,22,654,327
April,23,632,316
April,24,709,354.5
May,1,860,430
May,2,902,451
May,3,745,372.5
May,4,541,270.5
May,5,575,287.5
May,6,594,297
May,7,579,289.5
May,8,500,250
May,9,427,213.5
May,10,387,193.5
May,11,352,176
May,12,359,179.5
May,13,276,138
May,14,333,166.5
May,15,288,144
May,16,208,104
May,17,247,123.5
May,18,290,145
May,19,356,178
May,20,376,188
May,21,395,197.5
May,22,679,339.5
May,23,1053,526.5
May,24,1042,521
June,1,552,276
June,2,544,272
June,3,396,198
June,4,236,118
June,5,358,179
June,6,441,220.5
June,7,420,210
June,8,360,180
June,9,319,159.5
June,10,315,157.5
June,11,277,138.5
June,12,219,109.5
June,13,167,83.5
June,14,186,93
June,15,255,127.5
June,16,238,119
June,17,178,89
June,18,184,92
June,19,340,170
June,20,342,171
June,21,301,150.5
June,22,266,133
June,23,416,208
June,24,719,359.5
July,1,459,153
July,2,447,149
July,3,378,126
July,4,384,128
July,5,218,72.66666667
July,6,140,46.66666667
July,7,115,38.33333333
July,8,124,41.33333333
July,9,109,36.33333333
July,10,122,40.66666667
July,11,83,27.66666667
July,12,59,19.66666667
July,13,68,22.66666667
July,14,47,15.66666667
July,15,64,21.33333333
July,16,47,15.66666667
July,17,63,21
July,18,45,15
July,19,61,20.33333333
July,20,142,47.33333333
July,21,73,24.33333333
July,22,154,51.33333333
July,23,194,64.66666667
July,24,347,115.6666667
August,1,218,72.66666667
August,2,260,86.66666667
August,3,239,79.66666667
August,4,253,84.33333333
August,5,197,65.66666667
August,6,165,55
August,7,160,53.33333333
August,8,113,37.66666667
August,9,100,33.33333333
August,10,86,28.66666667
August,11,111,37
August,12,102,34
August,13,80,26.66666667
August,14,99,33
August,15,109,36.33333333
August,16,116,38.66666667
August,17,120,40
August,18,114,38
August,19,119,39.66666667
August,20,130,43.33333333
August,21,159,53
August,22,199,66.33333333
August,23,248,82.66666667
August,24,336,112
September,1,559,186.3333333
September,2,435,145
September,3,470,156.6666667
September,4,501,167
September,5,482,160.6666667
September,6,657,219
September,7,652,217.3333333
September,8,513,171
September,9,450,150
September,10,406,135.3333333
September,11,416,138.6666667
September,12,357,119
September,13,305,101.6666667
September,14,342,114
September,15,327,109
September,16,424,141.3333333
September,17,515,171.6666667
September,18,548,182.6666667
September,19,669,223
September,20,610,203.3333333
September,21,643,214.3333333
September,22,672,224
September,23,591,197
September,24,471,157
October,1,874,291.3333333
October,2,746,248.6666667
October,3,750,250
October,4,697,232.3333333
October,5,744,248
October,6,609,203
October,7,649,216.3333333
October,8,697,232.3333333
October,9,624,208
October,10,543,181
October,11,403,134.3333333
October,12,356,118.6666667
October,13,367,122.3333333
October,14,274,91.33333333
October,15,404,134.6666667
October,16,379,126.3333333
October,17,524,174.6666667
October,18,620,206.6666667
October,19,806,268.6666667
October,20,996,332
October,21,1252,417.3333333
October,22,957,319
October,23,929,309.6666667
October,24,854,284.6666667
November,1,416,208
November,2,401,200.5
November,3,466,233
November,4,340,170
November,5,380,190
November,6,441,220.5
November,7,453,226.5
November,8,427,213.5
November,9,492,246
November,10,376,188
November,11,359,179.5
November,12,231,115.5
November,13,244,122
November,14,263,131.5
November,15,216,108
November,16,300,150
November,17,435,217.5
November,18,520,260
November,19,441,220.5
November,20,383,191.5
November,21,364,182
November,22,345,172.5
November,23,400,200
November,24,426,213
December,1,541,270.5
December,2,547,273.5
December,3,602,301
December,4,565,282.5
December,5,410,205
December,6,368,184
December,7,343,171.5
December,8,360,180
December,9,262,131
December,10,255,127.5
December,11,207,103.5
December,12,172,86
December,13,170,85
December,14,205,102.5
December,15,245,122.5
December,16,411,205.5
December,17,621,310.5
December,18,562,281
December,19,571,285.5
December,20,512,256
December,21,544,272
December,22,643,321.5
December,23,755,377.5
December,24,615,307.5
