Month,Hour,Sum_DPM,DPM_HR
January,1,178,89
January,2,209,104.5
January,3,297,148.5
January,4,258,129
January,5,252,126
January,6,200,100
January,7,122,61
January,8,77,38.5
January,9,57,28.5
January,10,96,48
January,11,115,57.5
January,12,173,86.5
January,13,196,98
January,14,170,85
January,15,208,104
January,16,218,109
January,17,190,95
January,18,160,80
January,19,211,105.5
January,20,157,78.5
January,21,182,91
January,22,137,68.5
January,23,184,92
January,24,273,136.5
February,1,68,34
February,2,160,80
February,3,157,78.5
February,4,150,75
February,5,125,62.5
February,6,54,27
February,7,35,17.5
February,8,50,25
February,9,40,20
February,10,68,34
February,11,79,39.5
February,12,111,55.5
February,13,120,60
February,14,110,55
February,15,154,77
February,16,148,74
February,17,194,97
February,18,139,69.5
February,19,99,49.5
February,20,102,51
February,21,123,61.5
February,22,130,65
February,23,97,48.5
February,24,58,29
March,1,253,126.5
March,2,237,118.5
March,3,259,129.5
March,4,229,114.5
March,5,260,130
March,6,188,94
March,7,91,45.5
March,8,49,24.5
March,9,81,40.5
March,10,43,21.5
March,11,110,55
March,12,84,42
March,13,94,47
March,14,128,64
March,15,96,48
March,16,151,75.5
March,17,113,56.5
March,18,128,64
March,19,132,66
March,20,99,49.5
March,21,155,77.5
March,22,167,83.5
March,23,196,98
March,24,169,84.5
April,1,482,241
April,2,543,271.5
April,3,587,293.5
April,4,450,225
April,5,168,84
April,6,100,50
April,7,47,23.5
April,8,19,9.5
April,9,24,12
April,10,13,6.5
April,11,46,23
April,12,33,16.5
April,13,20,10
April,14,15,7.5
April,15,27,13.5
April,16,24,12
April,17,61,30.5
April,18,45,22.5
April,19,27,13.5
April,20,45,22.5
April,21,105,52.5
April,22,316,158
April,23,501,250.5
April,24,541,270.5
May,1,1029,514.5
May,2,1041,520.5
May,3,1078,539
May,4,717,358.5
May,5,369,184.5
May,6,260,130
May,7,289,144.5
May,8,299,149.5
May,9,242,121
May,10,246,123
May,11,178,89
May,12,174,87
May,13,154,77
May,14,125,62.5
May,15,155,77.5
May,16,146,73
May,17,168,84
May,18,136,68
May,19,217,108.5
May,20,336,168
May,21,428,214
May,22,643,321.5
May,23,1295,647.5
May,24,1132,566
June,1,761,380.5
June,2,643,321.5
June,3,518,259
June,4,189,94.5
June,5,97,48.5
June,6,150,75
June,7,246,123
June,8,246,123
June,9,302,151
June,10,182,91
June,11,137,68.5
June,12,174,87
June,13,119,59.5
June,14,131,65.5
June,15,111,55.5
June,16,166,83
June,17,115,57.5
June,18,155,77.5
June,19,169,84.5
June,20,190,95
June,21,149,74.5
June,22,127,63.5
June,23,450,225
June,24,608,304
July,1,426,213
July,2,370,185
July,3,466,233
July,4,248,124
July,5,84,42
July,6,67,33.5
July,7,86,43
July,8,73,36.5
July,9,76,38
July,10,58,29
July,11,95,47.5
July,12,81,40.5
July,13,45,22.5
July,14,39,19.5
July,15,45,22.5
July,16,26,13
July,17,61,30.5
July,18,70,35
July,19,45,22.5
July,20,73,36.5
July,21,127,63.5
July,22,106,53
July,23,193,96.5
July,24,440,220
August,1,60,30
August,2,148,74
August,3,41,20.5
August,4,82,41
August,5,66,33
August,6,24,12
August,7,60,30
August,8,26,13
August,9,42,21
August,10,46,23
August,11,64,32
August,12,74,37
August,13,80,40
August,14,43,21.5
August,15,48,24
August,16,49,24.5
August,17,54,27
August,18,23,11.5
August,19,40,20
August,20,58,29
August,21,82,41
August,22,149,74.5
August,23,213,106.5
August,24,117,58.5
September,1,65,32.5
September,2,53,26.5
September,3,52,26
September,4,25,12.5
September,5,49,24.5
September,6,15,7.5
September,7,36,18
September,8,53,26.5
September,9,84,42
September,10,59,29.5
September,11,79,39.5
September,12,79,39.5
September,13,99,49.5
September,14,70,35
September,15,75,37.5
September,16,103,51.5
September,17,110,55
September,18,75,37.5
September,19,78,39
September,20,48,24
September,21,84,42
September,22,76,38
September,23,56,28
September,24,28,14
October,1,189,94.5
October,2,226,113
October,3,238,119
October,4,122,61
October,5,69,34.5
October,6,33,16.5
October,7,44,22
October,8,50,25
October,9,56,28
October,10,43,21.5
October,11,47,23.5
October,12,82,41
October,13,90,45
October,14,99,49.5
October,15,104,52
October,16,90,45
October,17,121,60.5
October,18,86,43
October,19,63,31.5
October,20,123,61.5
October,21,90,45
October,22,121,60.5
October,23,152,76
October,24,147,73.5
November,1,146,73
November,2,161,80.5
November,3,181,90.5
November,4,166,83
November,5,177,88.5
November,6,133,66.5
November,7,68,34
November,8,60,30
November,9,46,23
November,10,53,26.5
November,11,48,24
November,12,54,27
November,13,84,42
November,14,129,64.5
November,15,85,42.5
November,16,181,90.5
November,17,191,95.5
November,18,266,133
November,19,290,145
November,20,160,80
November,21,203,101.5
November,22,226,113
November,23,254,127
November,24,229,114.5
December,1,328,164
December,2,322,161
December,3,238,119
December,4,195,97.5
December,5,162,81
December,6,110,55
December,7,82,41
December,8,42,21
December,9,45,22.5
December,10,47,23.5
December,11,55,27.5
December,12,41,20.5
December,13,92,46
December,14,115,57.5
December,15,78,39
December,16,103,51.5
December,17,174,87
December,18,266,133
December,19,148,74
December,20,236,118
December,21,219,109.5
December,22,236,118
December,23,205,102.5
December,24,312,156
