Month,Chain_Length2020,HoursYear2020,Av_Chain_Length_H2020,Chain_Length2021,HoursYear2021,Av_Chain_Length_H2021
1,7501307,744,10082.40188,3961553,744,5324.668011
2,2781728,696,3996.735632,3996232,672,5946.77381
3,4250656,744,5713.247312,5685691,744,7642.057796
4,9219345,720,12804.64583,10026068,720,13925.09444
5,35477335,744,47684.59005,12308666,744,16543.90591
6,14203424,720,19726.97778,3528708,720,4900.983333
7,7319626,744,9838.206989,1730198,744,2325.534946
8,1554106,744,2088.852151,1401183,744,1883.310484
9,1334683,720,1853.726389,1546972,720,2148.572222
10,3697753,744,4970.098118,4109038,744,5522.900538
11,9564602,720,13284.16944,1125975,720,1563.854167
12,7735524,744,10397.20968,4311545,645,6684.565891
