Month,DPM_sum2020,HoursYear2020,DPM_perH_2020,CA_2020,PS_2020,DPM_sum2021,HoursYear2021,DPM_perH_2021,CA_2021,PS_2021
1,2853,744,3.834677419,6.11218827,26.96383309,1467,744,1.971774194,0.663356945,28.67172346
2,1122,696,1.612068966,1.353390858,28.68171469,1449,672,2.15625,1.154856767,27.81766361
3,1716,744,2.306451613,2.242140278,29.07002411,1796,744,2.413978495,1.395340109,26.95802426
4,2064,720,2.866666667,5.351772886,28.41877368,2175,720,3.020833333,7.153678272,26.55661547
5,6945,744,9.334677419,2.28401748,24.0063136,3912,744,5.258064516,4.445889322,22.84262892
6,4311,720,5.9875,4.115057049,20.92020467,1824,720,2.533333333,2.17661975,21.50949286
7,2264,744,3.043010753,5.570630547,21.20516766,1136,744,1.52688172,6.716343069,24.52700357
8,832,744,1.11827957,4.626362595,21.05286838,857,744,1.15188172,2.124581463,26.87898552
9,832,720,1.155555556,2.40136302,24.46623766,719,720,0.998611111,0.884716277,25.93834098
10,1372,744,1.844086022,2.445101038,24.90550596,1113,744,1.495967742,0.486727925,25.16235706
11,2928,720,4.066666667,1.769421935,24.53628603,663,720,0.920833333,0.372251788,27.05153106
12,2396,744,3.220430108,1.084565575,25.28903938,1455,645,2.255813953,0.423586199,28.16114293
