Hour,Sum_DPM_2020,Av_DPM_2020,Sum_DPM_2021,Av_DPM_2021
1,2260,37.66666667,1725,28.75
2,2352,39.2,1761,29.35
3,2513,41.88333333,1599,26.65
4,1672,27.86666667,1159,19.31666667
5,1078,17.96666667,800,13.33333333
6,883,14.71666667,451,7.516666667
7,806,13.43333333,400,6.666666667
8,656,10.93333333,388,6.466666667
9,742,12.36666667,353,5.883333333
10,644,10.73333333,310,5.166666667
11,698,11.63333333,355,5.916666667
12,678,11.3,482,8.033333333
13,676,11.26666667,517,8.616666667
14,666,11.1,508,8.466666667
15,692,11.53333333,494,8.233333333
16,835,13.91666667,570,9.5
17,944,15.73333333,608,10.13333333
18,1019,16.98333333,530,8.833333333
19,1043,17.38333333,476,7.933333333
20,1096,18.26666667,531,8.85
21,1229,20.48333333,718,11.96666667
22,1358,22.63333333,1076,17.93333333
23,2422,40.36666667,1374,22.9
24,2673,44.55,1381,23.01666667
