Date,Year,SampleYear,Month,Day,Hour,DiurnalPhase,DPM,Av.Turbidity,Av.Salinity,Av.Chlorophyll,Av.Temp,Av.SeaLevel,MoonPhase
2020-01-24,2020,2020,1,24,13,Day,0,1.275,29.511,49.122,6.281,6.867,NM
2020-01-24,2020,2020,1,24,14,Day,4,1.379,29.546,49.123,6.311,6.274,NM
2020-01-24,2020,2020,1,24,20,Night2,0,1.467,29.607,49.122,6.319,5.216,NM
2020-01-24,2020,2020,1,24,21,Night2,0,1.637,29.666,49.124,6.330,3.848,NM
2020-01-24,2020,2020,1,24,22,Night2,0,1.721,29.663,49.122,6.328,2.545,NM
2020-01-24,2020,2020,1,24,15,Day,1,1.624,29.665,49.124,6.325,1.451,NM
2020-01-24,2020,2020,1,24,18,Night2,0,1.654,29.657,49.122,6.339,0.995,NM
2020-01-24,2020,2020,1,24,16,Evening,2,1.395,29.596,49.124,6.322,1.155,NM
2020-01-24,2020,2020,1,24,19,Night2,3,1.454,29.600,49.122,6.315,1.961,NM
2020-01-24,2020,2020,1,24,23,Night2,0,1.461,29.552,49.124,6.319,3.161,NM
2020-01-24,2020,2020,1,24,17,Night2,0,1.661,29.542,49.122,6.324,4.469,NM
2020-01-25,2020,2020,1,25,14,Day,4,1.632,29.501,49.124,6.326,5.515,WXC
2020-01-25,2020,2020,1,25,2,Night1,0,1.618,29.501,49.122,6.326,6.143,WXC
2020-01-25,2020,2020,1,25,10,Day,1,1.456,29.277,49.124,6.333,6.254,WXC
2020-01-25,2020,2020,1,25,13,Day,3,1.681,29.326,49.122,6.340,5.769,WXC
2020-01-25,2020,2020,1,25,15,Day,0,1.772,29.406,49.123,6.339,4.877,WXC
2020-01-25,2020,2020,1,25,9,Morning,0,1.819,28.846,49.122,6.289,3.856,WXC
2020-01-25,2020,2020,1,25,12,Day,0,1.578,29.028,49.124,6.306,3.075,WXC
2020-01-25,2020,2020,1,25,19,Night2,0,1.690,29.334,49.122,6.333,2.710,WXC
2020-01-25,2020,2020,1,25,21,Night2,0,1.582,29.442,44.380,6.346,2.762,WXC
2020-01-25,2020,2020,1,25,6,Night1,0,1.566,29.537,48.816,6.366,3.412,WXC
2020-01-25,2020,2020,1,25,8,Morning,1,1.490,29.606,49.123,6.371,4.463,WXC
2020-01-25,2020,2020,1,25,20,Night2,1,1.633,29.550,49.122,6.359,5.520,WXC
2020-01-25,2020,2020,1,25,22,Night2,0,1.571,29.530,49.123,6.359,6.446,WXC
2020-01-25,2020,2020,1,25,23,Night2,0,1.502,29.423,49.122,6.341,6.922,WXC
2020-01-25,2020,2020,1,25,16,Evening,1,1.422,29.386,49.123,6.338,6.715,WXC
2020-01-25,2020,2020,1,25,1,Night1,0,1.514,29.439,49.122,6.348,5.919,WXC
2020-01-25,2020,2020,1,25,0,Night1,0,1.614,29.586,49.123,6.370,4.725,WXC
2020-01-25,2020,2020,1,25,11,Day,1,1.777,29.667,49.122,6.384,3.315,WXC
2020-01-25,2020,2020,1,25,3,Night1,0,1.802,29.730,49.123,6.406,2.072,WXC
2020-01-25,2020,2020,1,25,7,Night1,0,1.574,29.550,49.122,6.370,1.201,WXC
2020-01-25,2020,2020,1,25,4,Night1,0,1.588,29.523,49.123,6.377,0.993,WXC
2020-01-25,2020,2020,1,25,17,Night2,0,1.574,29.598,49.122,6.415,1.498,WXC
2020-01-25,2020,2020,1,25,18,Night2,0,1.608,29.508,49.122,6.401,2.505,WXC
2020-01-25,2020,2020,1,25,5,Night1,0,1.608,29.559,49.122,6.397,3.803,WXC
2020-01-26,2020,2020,1,26,15,Day,1,1.464,29.484,49.123,6.389,4.991,WXC
2020-01-26,2020,2020,1,26,14,Day,0,1.430,29.511,49.122,6.390,5.898,WXC
2020-01-26,2020,2020,1,26,16,Evening,0,1.380,29.338,49.123,6.363,6.289,WXC
2020-01-26,2020,2020,1,26,2,Night1,0,1.428,29.208,49.122,6.326,6.161,WXC
2020-01-26,2020,2020,1,26,10,Day,1,1.533,29.302,49.123,6.359,5.438,WXC
2020-01-26,2020,2020,1,26,3,Night1,12,1.491,29.468,37.923,6.385,4.472,WXC
